epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75973,0,192.31,0,0.00546,1,0.01453,0.00774,0.86953,7.14706,2.06238,0,0,0
2,11.7913,0,186.411,0,0.00562,1,0.0186,0.01001,0.92965,6.85118,2.09715,1.40071e-05,1.40071e-05,1.40071e-05
3,17.3973,0,162.238,0,0.00671,1,0.03292,0.01504,0.95369,6.17601,2.10718,2.74482e-05,2.74482e-05,2.74482e-05
4,23.1949,0,145.842,0,0.01053,1,0.03528,0.00899,1.03875,5.55272,2.11521,4.03235e-05,4.03235e-05,4.03235e-05
5,29.2585,0,128.629,0,0.02353,1,0.03618,0.00874,1.00207,5.86242,2.08315,5.26329e-05,5.26329e-05,5.26329e-05
6,34.9036,0,113.122,0,0.05,0.5,0.04369,0.00437,0.9834,7.12771,2.06116,6.43764e-05,6.43764e-05,6.43764e-05
7,41.3188,0,103.582,0,0,0,0,0,0.94987,8.19122,2.00327,7.55541e-05,7.55541e-05,7.55541e-05
8,47.4931,0,93.9967,0,0,0,0,0,0.81675,9.85898,1.88222,8.61658e-05,8.61658e-05,8.61658e-05
9,52.7183,0,86.619,0,0,0,0,0,0.74949,10.879,1.79734,9.62117e-05,9.62117e-05,9.62117e-05
10,58.0601,0,80.7166,0,0,0,0,0,0.81743,9.75271,1.80787,0.000105692,0.000105692,0.000105692
11,64.3961,0,76.5919,0,0,0,0,0,0.91636,8.57005,1.84055,0.000114606,0.000114606,0.000114606
12,70.274,0,72.2757,0,0.00437,0.5,0.0035,0.0007,1.04961,7.74862,1.87903,0.000122954,0.000122954,0.000122954
13,75.8675,0,66.8037,0,0.0041,0.5,0.00346,0.00035,1.10852,7.36506,1.92937,0.000130736,0.000130736,0.000130736
14,81.1331,0,62.6463,0,0,0,0,0,1.18399,6.98481,1.95887,0.000137953,0.000137953,0.000137953
15,86.7123,0,58.2481,0,0,0,0,0,1.14,6.59252,1.96212,0.000144603,0.000144603,0.000144603
16,91.887,0,54.9736,0,0.00971,0.5,0.00763,0.00534,1.1589,6.23921,2.02255,0.000150688,0.000150688,0.000150688
17,96.9647,0,50.3238,0,0.01149,0.5,0.01043,0.00834,1.1969,5.99901,2.1471,0.000156207,0.000156207,0.000156207
18,102.653,0,46.4495,0,0.01149,0.5,0.01043,0.00834,1.1969,5.99901,2.1471,0.00016116,0.00016116,0.00016116
19,108.522,0,46.9129,0,0.02667,1,0.03685,0.0222,1.13239,5.41437,2.17482,0.000165547,0.000165547,0.000165547
20,113.616,0,42.9497,0,0.02667,1,0.03685,0.0222,1.13239,5.41437,2.17482,0.000169368,0.000169368,0.000169368
21,118.888,0,42.6273,0,0.0177,1,0.08587,0.0402,0.98281,5.13446,1.96305,0.000172623,0.000172623,0.000172623
22,124.51,0,40.0351,0,0.0177,1,0.08587,0.0402,0.98281,5.13446,1.96305,0.000175313,0.000175313,0.000175313
23,130.386,0,38.9789,0,0.01212,1,0.0317,0.01259,0.68964,5.29703,1.64717,0.000177436,0.000177436,0.000177436
24,135.913,0,37.3776,0,0.01212,1,0.0317,0.01259,0.68964,5.29703,1.64717,0.000178994,0.000178994,0.000178994
25,141.881,0,36.2036,0,0.01124,1,0.01777,0.0066,0.75168,5.0963,1.56942,0.000179985,0.000179985,0.000179985
26,147.082,0,32.7909,0,0.01124,1,0.01777,0.0066,0.75168,5.0963,1.56942,0.000180411,0.000180411,0.000180411
27,152.494,0,33.8061,0,0.01307,1,0.03159,0.0138,0.75515,4.69055,1.50269,0.000180271,0.000180271,0.000180271
28,157.66,0,30.6475,0,0.01307,1,0.03159,0.0138,0.75515,4.69055,1.50269,0.000179565,0.000179565,0.000179565
29,164.501,0,30.9016,0,0.01653,1,0.04854,0.02333,0.78406,4.5024,1.4827,0.000178293,0.000178293,0.000178293
30,170.299,0,27.5238,0,0.01653,1,0.04854,0.02333,0.78406,4.5024,1.4827,0.000176456,0.000176456,0.000176456
31,176.502,0,27.5176,0,0.01869,1,0.05103,0.022,0.94667,4.47996,1.62547,0.000174052,0.000174052,0.000174052
32,182.708,0,27.786,0,0.01869,1,0.05103,0.022,0.94667,4.47996,1.62547,0.000171083,0.000171083,0.000171083
33,188.585,0,26.0544,0,0.01852,1,0.04854,0.01601,1.05319,4.36817,1.77491,0.000167547,0.000167547,0.000167547
34,193.658,0,23.9857,0,0.01852,1,0.04854,0.01601,1.05319,4.36817,1.77491,0.000163446,0.000163446,0.000163446
35,199.694,0,23.7089,0,0.02062,1,0.12678,0.02358,1.11629,4.23375,1.85303,0.000158779,0.000158779,0.000158779
36,205.97,0,22.5618,0,0.02062,1,0.12678,0.02358,1.11629,4.23375,1.85303,0.000153546,0.000153546,0.000153546
37,212.236,0,23.5844,0,0.02198,1,0.28429,0.0389,1.20122,4.18763,1.99021,0.000147747,0.000147747,0.000147747
38,217.443,0,21.4668,0,0.02198,1,0.28429,0.0389,1.20122,4.18763,1.99021,0.000141382,0.000141382,0.000141382
39,223.173,0,21.21,0,0.02299,1,0.03902,0.01531,1.30751,4.18956,2.14204,0.000134452,0.000134452,0.000134452
40,228.138,0,20.1084,0,0.02299,1,0.03902,0.01531,1.30751,4.18956,2.14204,0.000126955,0.000126955,0.000126955
41,233.244,0,29.7161,0,0.02564,1,0.03491,0.0124,1.37563,4.17773,2.21204,0.000118893,0.000118893,0.000118893
42,238.627,0,22.1964,0,0.02564,1,0.03491,0.0124,1.37563,4.17773,2.21204,0.000110264,0.000110264,0.000110264
43,244.054,0,23.878,0,0.01695,0.5,0.01583,0.00475,1.42738,4.18743,2.29611,0.00010107,0.00010107,0.00010107
44,249.213,0,19.9369,0,0.01695,0.5,0.01583,0.00475,1.42738,4.18743,2.29611,9.13102e-05,9.13102e-05,9.13102e-05
45,254.462,0,20.084,0,0,0,0,0,1.4823,4.21062,2.33103,8.09843e-05,8.09843e-05,8.09843e-05
46,259.53,0,18.8016,0,0,0,0,0,1.4823,4.21062,2.33103,7.00924e-05,7.00924e-05,7.00924e-05
47,264.846,0,19.0184,0,0,0,0,0,1.54396,4.2295,2.37617,5.86347e-05,5.86347e-05,5.86347e-05
48,270.036,0,18.4812,0,0,0,0,0,1.54396,4.2295,2.37617,4.66111e-05,4.66111e-05,4.66111e-05
49,275.123,0,19.06,0,0,0,0,0,1.58364,4.22752,2.38126,3.40216e-05,3.40216e-05,3.40216e-05
50,280.102,0,18.9984,0,0,0,0,0,1.58364,4.22752,2.38126,2.08663e-05,2.08663e-05,2.08663e-05
